"※リンクには画像ファイルの名前を書いてください（画像ファイルの拡張子はjpg,pngのみ、ファイル名は大文字を除く半角英数字、拡張子は書かないでください）",,,,,,,
番号,名前,読み,所属,リンク1,リンク2,説明,タグ
53,新庄 剛志,しんじょう つよし,プロ野球選手、タレント。日本人野手初のメジャーリーガー。「記録より記憶に残る選手」とも称された,shinjo1,shinjo2,,人物、スポーツ選手、野球
54,エフゲニー・プルシェンコ,,ロシアの男性フィギュアスケート選手,puru1,puru2,,人物、スポーツ選手
55,羽生 結弦,はにゅう ゆづる,宮城県仙台市泉区出身のフィギュアスケート選手,hanyu1,hanyu2,,人物、スポーツ選手
56,浅田 真央,あさだ まお,日本のフィギュアスケート選手,asada_mao1,asada_mao2,,人物、スポーツ選手
57,内村 航平,うちむら こうへい,体操競技選手,uchi_ko1,uchi_ko2,,人物、スポーツ選手
58,白井 健三,しらい けんぞう,体操競技選手、自身の名前を関する技を持つ,shirai_ken1,shirai_ken2,,人物、スポーツ選手
59,加藤 凌平,かとう りょうへい,体操競技選手,katou_ryohei1,katou_ryohei2,,人物、スポーツ選手
60,クリスティアーノ・ロナウド,,ポルトガル出身のサッカー選手。,kurirona1,kurirona2,,人物、スポーツ選手、サッカー
61,リオネル・メッシ,,イタリア系アルゼンチン人サッカー選手。,messi1,messi2,,人物、スポーツ選手、サッカー
62,ネイマール,,ブラジル代表のサッカー選手,neima1,neima2,,人物、スポーツ選手、サッカー
63,シャビ,,スペインのサッカー選手,syabi1,syabi2,,人物、スポーツ選手、サッカー
64,アンドレス・イニエスタ,,スペインのサッカー選手。ヴィッセル神戸に移籍,ienisuta1,ienisuta2,,人物、スポーツ選手、サッカー
65,ジネディーヌ・ジダン,,フランスのサッカー選手,jidan1,jidan2,,人物、スポーツ選手、サッカー
66,ロナウジーニョ,,ブラジルのサッカー選手,ronauji1,ronauji2,,人物、スポーツ選手、サッカー
67,中田 英寿,なかた ひでとし,日本のサッカー選手。愛称は「ヒデ」,nakata_hide1,nakata_hide2,,人物、スポーツ選手、サッカー
68,ディエゴ・マラドーナ,,アルゼンチンの伝説的サッカー選手,marado1,marado2,,人物、スポーツ選手、サッカー
69,ペレ,,ブラジルのサッカー選手。「サッカーの王様」とも評される,pere1,pere2,,人物、スポーツ選手、サッカー
70,吉田 麻也,よしだ まや,日本のサッカー選手。CB,yoshi_maya1,yoshi_maya2,,人物、スポーツ選手、サッカー
71,長友 佑都,ながとも ゆうと,日本のサッカー選手。SB,nagatomo1,nagatomo2,,人物、スポーツ選手、サッカー
72,岡崎 慎司,おかざき しんじ,兵庫県宝塚市出身のプロサッカー選手。FW,oka_sin1,oka_sin2,,人物、スポーツ選手、サッカー
73,川島 永嗣,かわしま えいじ,日本のサッカー選手。GK,kawa_ei1,kawa_ei2,,人物、スポーツ選手、サッカー
74,大迫 勇也,おおさこ ゆうや,日本のサッカー選手。FW、MF,osako1,osako2,,人物、スポーツ選手、サッカー
75,南野 拓実,みなみの たくみ,日本のサッカー選手。FW,mina_taku1,mina_taku2,,人物、スポーツ選手、サッカー
